,Model_Name,AttackID,Total_Count_of_Actual_Attacks,Total_Count_of_Identified_Attacks,Identified_Attack(in %),Attack_Start_Time,Attack_End_Time,PropensityOfAttack (In Seconds),Model_Group
20,iforest_P6_SWAT_Dec2015_Data_model,26,1445,422,29.2,2015-12-30 17:04:56,2015-12-30 17:29:00,1008.0,iforest
21,iforest_P6_SWAT_Dec2015_Data_model,27,1691,16,0.95,2015-12-31 01:17:08,2015-12-31 01:45:18,153.0,iforest
22,iforest_P6_SWAT_Dec2015_Data_model,28,34209,534,1.56,2015-12-31 01:45:19,2015-12-31 11:15:27,1814.0,iforest
23,iforest_P6_SWAT_Dec2015_Data_model,29,121,0,0.0,2015-12-31 15:32:00,2015-12-31 15:34:00,120.0,iforest
24,iforest_P6_SWAT_Dec2015_Data_model,30,1171,0,0.0,2015-12-31 15:47:40,2015-12-31 16:07:10,1170.0,iforest
25,iforest_P6_SWAT_Dec2015_Data_model,31,367,2,0.54,2015-12-31 22:05:34,2015-12-31 22:11:40,360.0,iforest
26,iforest_P6_SWAT_Dec2015_Data_model,32,601,5,0.83,2016-01-01 10:36:00,2016-01-01 10:46:00,82.0,iforest
27,iforest_P6_SWAT_Dec2015_Data_model,33,444,219,49.32,2016-01-01 14:21:12,2016-01-01 14:28:35,68.0,iforest
28,iforest_P6_SWAT_Dec2015_Data_model,34,101,0,0.0,2016-01-01 17:12:40,2016-01-01 17:14:20,100.0,iforest
29,iforest_P6_SWAT_Dec2015_Data_model,35,481,70,14.55,2016-01-01 17:18:56,2016-01-01 17:26:56,0.0,iforest
30,iforest_P6_SWAT_Dec2015_Data_model,36,540,13,2.41,2016-01-01 22:16:01,2016-01-01 22:25:00,112.0,iforest
0,mcd_P1_SWAT_Dec2015_Data_model,1,940,573,60.96,2015-12-28 10:29:14,2015-12-28 10:44:53,320.0,mcd
1,mcd_P1_SWAT_Dec2015_Data_model,2,443,438,98.87,2015-12-28 10:51:08,2015-12-28 10:58:30,0.0,mcd
2,mcd_P1_SWAT_Dec2015_Data_model,3,383,228,59.53,2015-12-28 11:22:00,2015-12-28 11:28:22,0.0,mcd
3,mcd_P1_SWAT_Dec2015_Data_model,4,390,390,100.0,2015-12-28 11:47:39,2015-12-28 11:54:08,0.0,mcd
4,mcd_P1_SWAT_Dec2015_Data_model,6,196,196,100.0,2015-12-28 12:00:55,2015-12-28 12:04:10,0.0,mcd
5,mcd_P1_SWAT_Dec2015_Data_model,7,429,306,71.33,2015-12-28 12:08:25,2015-12-28 12:15:33,0.0,mcd
6,mcd_P1_SWAT_Dec2015_Data_model,8,964,841,87.24,2015-12-28 13:10:10,2015-12-28 13:26:13,0.0,mcd
